Mchi,dMchi,ct,alphaD,xsec(pb)
3.1500,0.3000,0.1000,0.1,177.45498
3.1500,0.3000,1.0000,0.1,15.655983899999999
3.1500,0.3000,10.0000,0.1,1.6144482400000002
3.1500,0.3000,100.0000,0.1,0.16034823099999998
3.1500,0.3000,1000.0000,0.1,0.0157501455
5.2500,0.5000,0.1000,0.1,103.79467499999998
5.2500,0.5000,1.0000,0.1,9.7614909
5.2500,0.5000,10.0000,0.1,0.9612048200000001
5.2500,0.5000,100.0000,0.1,0.09674044400000001
5.2500,0.5000,1000.0000,0.1,0.009712591799999998
10.5000,1.0000,0.1000,0.1,51.184865
10.5000,1.0000,1.0000,0.1,4.996754899999999
10.5000,1.0000,10.0000,0.1,0.49460879999999996
10.5000,1.0000,100.0000,0.1,0.04935231699999999
10.5000,1.0000,1000.0000,0.1,0.0049525253
21.0000,2.0000,0.1000,0.1,38.278122999999994
21.0000,2.0000,1.0000,0.1,3.7927768000000004
21.0000,2.0000,10.0000,0.1,0.3749391
21.0000,2.0000,100.0000,0.1,0.037614796
21.0000,2.0000,1000.0000,0.1,0.0037541697
31.5000,3.0000,0.1000,0.1,116.20886
31.5000,3.0000,1.0000,0.1,113.36357000000001
31.5000,3.0000,10.0000,0.1,15.788519
31.5000,3.0000,100.0000,0.1,1.5793538999999999
31.5000,3.0000,1000.0000,0.1,0.15802249000000002
42.0000,4.0000,0.1000,0.1,9.904605
42.0000,4.0000,1.0000,0.1,0.9835697
42.0000,4.0000,10.0000,0.1,0.09885577
42.0000,4.0000,100.0000,0.1,0.009884838000000002
42.0000,4.0000,1000.0000,0.1,0.0009842645999999999
52.5000,5.0000,0.1000,0.1,2.3474836000000003
52.5000,5.0000,1.0000,0.1,0.23305575
52.5000,5.0000,10.0000,0.1,0.02333706
52.5000,5.0000,100.0000,0.1,0.0023425852
52.5000,5.0000,1000.0000,0.1,0.00023326722000000004
63.0000,6.0000,0.1000,0.1,1.1991051999999998
63.0000,6.0000,1.0000,0.1,0.11887649999999998
63.0000,6.0000,10.0000,0.1,0.011900932999999999
63.0000,6.0000,100.0000,0.1,0.0011955801999999998
63.0000,6.0000,1000.0000,0.1,0.00011932828999999999
84.0000,8.0000,0.1000,0.1,0.45164461
84.0000,8.0000,1.0000,0.1,0.045036606
84.0000,8.0000,10.0000,0.1,0.0045178506
84.0000,8.0000,100.0000,0.1,0.00045118514
84.0000,8.0000,1000.0000,0.1,4.5277137e-05
3.1500,0.3000,0.1000,aEM,0.001
3.1500,0.3000,1.0000,aEM,107.19640000000001
3.1500,0.3000,10.0000,aEM,15.516447800000002
3.1500,0.3000,100.0000,aEM,1.65292345
3.1500,0.3000,1000.0000,aEM,0.1708588784
5.2500,0.5000,0.1000,aEM,3807.4762
5.2500,0.5000,1.0000,aEM,71.806765
5.2500,0.5000,10.0000,aEM,9.483630470000001
5.2500,0.5000,100.0000,aEM,1.00171304
5.2500,0.5000,1000.0000,aEM,0.1030082644
10.5000,1.0000,0.1000,aEM,247.21738
10.5000,1.0000,1.0000,aEM,41.339815
10.5000,1.0000,10.0000,aEM,4.8282734000000005
10.5000,1.0000,100.0000,aEM,0.49626307
10.5000,1.0000,1000.0000,aEM,0.05106150100000001
21.0000,2.0000,0.1000,aEM,135.1149
21.0000,2.0000,1.0000,aEM,26.801363
21.0000,2.0000,10.0000,aEM,3.1236904000000005
21.0000,2.0000,100.0000,aEM,0.31524414
21.0000,2.0000,1000.0000,aEM,0.031600512000000004
31.5000,3.0000,0.1000,aEM,35.482525
31.5000,3.0000,1.0000,aEM,24.220713
31.5000,3.0000,10.0000,aEM,22.691805
31.5000,3.0000,100.0000,aEM,30.56306
31.5000,3.0000,1000.0000,aEM,4.8812665
42.0000,4.0000,0.1000,aEM,42.468047000000006
42.0000,4.0000,1.0000,aEM,8.857769
42.0000,4.0000,10.0000,aEM,1.0135915
42.0000,4.0000,100.0000,aEM,0.10297048000000002
42.0000,4.0000,1000.0000,aEM,0.010290164
52.5000,5.0000,0.1000,aEM,19.284488
52.5000,5.0000,1.0000,aEM,3.0416146
52.5000,5.0000,10.0000,aEM,0.32161860999999997
52.5000,5.0000,100.0000,aEM,0.032538579
52.5000,5.0000,1000.0000,aEM,0.0032659581999999994
63.0000,6.0000,0.1000,aEM,11.2393004
63.0000,6.0000,1.0000,aEM,1.5938350999999997
63.0000,6.0000,10.0000,aEM,0.16655756
63.0000,6.0000,100.0000,aEM,0.016700609999999998
63.0000,6.0000,1000.0000,aEM,0.0016740243
84.0000,8.0000,0.1000,aEM,4.7175753
84.0000,8.0000,1.0000,aEM,0.61056022
84.0000,8.0000,10.0000,aEM,0.063053758
84.0000,8.0000,100.0000,aEM,0.0063206420000000004
84.0000,8.0000,1000.0000,aEM,0.00063427725
3.6000,1.2000,0.1000,0.1,0.158528085
