,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Lxy <= 0.5,BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,0.014484031485781673,0.001842350910399229,0.0015194701863732042,0.001420985585840928,0.0014175835335496002,0.0014175835335496002,0.0014040059302211064,0.0004894238085942055,0.0002107451195391671,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,0.014781603920295639,0.002143223294105311,0.0018939436407035385,0.0018108637520800094,0.0018108637520800094,0.0018108637520800094,0.001794258649468925,0.0006354747450054184,0.00018695344528517617,5.0,0.1,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,0.015927916875933482,0.002349445566224159,0.0020240151214556776,0.001881752015915911,0.0018795858514896004,0.0018795858514896004,0.0018666838964064777,0.0007652577932447661,0.0003147948965118699,10.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,0.01472873067695271,0.0021882400988289708,0.001888642140741992,0.0018052358517674436,0.0018052358517674436,0.0018052358517674436,0.0017939893910559437,0.0008179480984253736,0.0004056132328923959,10.0,0.2,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,0.01692016381262599,0.0029316283012618973,0.0025310973078968026,0.0023857493529328274,0.0023857493529328274,0.0023857493529328274,0.0023571335799973327,0.001341862116881632,0.0008628777237740324,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,0.018942328318553654,0.002825650588520862,0.0023808632547259686,0.0022750731314669505,0.0022728692879824793,0.0022728692879824793,0.002253088072899184,0.001094574796090687,0.0005747085900610694,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,0.020878136792662157,0.0038481200171779023,0.003369484049724742,0.003242465202443474,0.0032349939319605,0.0032349939319605,0.003195139486744614,0.0021007658775576235,0.0014379669536172435,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,0.023214477724021475,0.0034809591168351393,0.0029799926403035327,0.00288065208357541,0.00288065208357541,0.00288065208357541,0.0028552545950911996,0.0016179493850109392,0.0009093101025445313,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,0.026903905754649463,0.005098776359163422,0.0043062538727560665,0.004164750242502612,0.004161454443181586,0.004161454443181586,0.004135186538864762,0.0028325988160622464,0.0018686849585729025,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,0.030555449286320823,0.0050511239632587785,0.0043375542937557415,0.004132889794124165,0.004126882010286719,0.004126882010286719,0.004102811358855953,0.0025075036349436392,0.0015202362118614898,40.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,0.03382568049132571,0.0069822002641035524,0.005961261927036523,0.0056953393975820886,0.0056953393975820886,0.0056953393975820886,0.00565067104368041,0.004049226528083203,0.002714917079445521,50.0,0.2,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,0.03631795936761357,0.006258949854813817,0.005421136989751873,0.005217323884975387,0.005217323884975387,0.005217323884975387,0.005197399383978217,0.0034367551165746944,0.0020093963992278427,50.0,0.1,1.0
